time,open,high,low,close,interval,pair
2023-04-13,1.64174,1.64461,1.62638,1.62837,D1,EURAUD
2023-04-13,1.47691,1.48043,1.47281,1.47348,D1,EURCAD
2023-04-13,0.88019,0.88388,0.87921,0.88209,D1,EURGBP
2023-04-13,146.318,146.883,146.075,146.458,D1,EURJPY
2023-04-13,1.09903,1.10678,1.09766,1.10473,D1,EURUSD
2023-04-13,1.86486,1.86803,1.84364,1.84606,D1,GBPAUD
2023-04-13,1.67747,1.67953,1.66974,1.67049,D1,GBPCAD
2023-04-13,166.191,166.843,165.399,166.026,D1,GBPJPY
2023-04-13,1.24824,1.25375,1.24759,1.25237,D1,GBPUSD
2023-04-13,1.34398,1.34479,1.33335,1.3339,D1,USDCAD
2023-04-13,0.89611,0.89746,0.88596,0.88945,D1,USDCHF
2023-04-13,133.134,133.395,132.021,132.57,D1,USDJPY
2023-04-14,1.62833,1.64044,1.62594,1.6384,D1,EURAUD
2023-04-14,1.47321,1.47541,1.4684,1.46861,D1,EURCAD
2023-04-14,0.88195,0.886,0.88128,0.88555,D1,EURGBP
2023-04-14,146.434,147.159,146.208,147.052,D1,EURJPY
2023-04-14,1.10462,1.10759,1.09724,1.09946,D1,EURUSD
2023-04-14,1.84584,1.85451,1.83976,1.84994,D1,GBPAUD
2023-04-14,1.66993,1.67126,1.65806,1.65809,D1,GBPCAD
2023-04-14,165.986,166.229,165.401,166.028,D1,GBPJPY
2023-04-14,1.25213,1.25461,1.23991,1.24137,D1,GBPUSD
2023-04-14,1.33375,1.33956,1.33006,1.33573,D1,USDCAD
2023-04-14,0.88911,0.8959,0.88668,0.89385,D1,USDCHF
2023-04-14,132.564,133.838,132.169,133.745,D1,USDJPY
2023-04-17,1.63846,1.64016,1.62991,1.63062,D1,EURAUD
2023-04-17,1.46806,1.46953,1.46229,1.46342,D1,EURCAD
2023-04-17,0.88413,0.88645,0.88209,0.88297,D1,EURGBP
2023-04-17,146.951,147.452,146.659,146.971,D1,EURJPY
2023-04-17,1.09886,1.09998,1.09093,1.09287,D1,EURUSD
2023-04-17,1.8493,1.85485,1.84576,1.84671,D1,GBPAUD
2023-04-17,1.65663,1.66268,1.65383,1.65745,D1,GBPCAD
2023-04-17,165.933,166.63,165.69,166.445,D1,GBPJPY
2023-04-17,1.24022,1.24383,1.23532,1.23769,D1,GBPUSD
2023-04-17,1.33546,1.34199,1.33426,1.33914,D1,USDCAD
2023-04-17,0.89397,0.89964,0.8922,0.89845,D1,USDCHF
2023-04-17,133.799,134.573,133.711,134.48,D1,USDJPY
2023-04-18,1.63035,1.63164,1.62463,1.63085,D1,EURAUD
2023-04-18,1.46326,1.46996,1.46143,1.46896,D1,EURCAD
2023-04-18,0.88273,0.8833,0.88094,0.88302,D1,EURGBP
2023-04-18,146.915,147.381,146.591,147.13,D1,EURJPY
2023-04-18,1.09269,1.0983,1.09202,1.09723,D1,EURUSD
2023-04-18,1.84659,1.85003,1.84001,1.84689,D1,GBPAUD
2023-04-18,1.65723,1.666,1.65645,1.66359,D1,GBPCAD
2023-04-18,166.399,167.007,166.119,166.614,D1,GBPJPY
2023-04-18,1.23757,1.24499,1.23602,1.24254,D1,GBPUSD
2023-04-18,1.33919,1.33994,1.33596,1.33886,D1,USDCAD
2023-04-18,0.89847,0.89875,0.89545,0.89636,D1,USDCHF
2023-04-18,134.463,134.705,133.863,134.093,D1,USDJPY
2023-04-19,1.63069,1.63466,1.6279,1.63186,D1,EURAUD
2023-04-19,1.46888,1.47501,1.46656,1.47448,D1,EURCAD
2023-04-19,0.88297,0.88381,0.87917,0.88085,D1,EURGBP
2023-04-19,147.127,147.862,146.918,147.565,D1,EURJPY
2023-04-19,1.09728,1.0984,1.09174,1.09558,D1,EURUSD
2023-04-19,1.84633,1.85667,1.84407,1.85261,D1,GBPAUD
2023-04-19,1.6631,1.67542,1.66228,1.67396,D1,GBPCAD
2023-04-19,166.597,167.968,166.485,167.519,D1,GBPJPY
2023-04-19,1.24231,1.24742,1.23922,1.24375,D1,GBPUSD
2023-04-19,1.33864,1.34669,1.33797,1.34587,D1,USDCAD
2023-04-19,0.89597,0.9003,0.89455,0.89753,D1,USDCHF
2023-04-19,134.085,135.139,133.953,134.688,D1,USDJPY
2023-04-20,1.6314,1.6361,1.62209,1.62706,D1,EURAUD
2023-04-20,1.47418,1.47991,1.47312,1.47824,D1,EURCAD
2023-04-20,0.88037,0.88258,0.87885,0.88158,D1,EURGBP
2023-04-20,147.574,147.833,147.019,147.254,D1,EURJPY
2023-04-20,1.09545,1.09898,1.09335,1.09698,D1,EURUSD
2023-04-20,1.85234,1.85525,1.84036,1.84558,D1,GBPAUD
2023-04-20,1.67374,1.67905,1.67252,1.67692,D1,GBPCAD
2023-04-20,167.539,167.703,166.839,167.034,D1,GBPJPY
2023-04-20,1.24384,1.24677,1.24046,1.24432,D1,GBPUSD
2023-04-20,1.34573,1.34894,1.34483,1.34766,D1,USDCAD
2023-04-20,0.89723,0.89832,0.89201,0.89244,D1,USDCHF
2023-04-20,134.699,134.973,134.012,134.235,D1,USDJPY
2023-04-21,1.62685,1.64293,1.62493,1.6418,D1,EURAUD
2023-04-21,1.4781,1.48831,1.47586,1.48789,D1,EURCAD
2023-04-21,0.88149,0.88614,0.88076,0.88314,D1,EURGBP
2023-04-21,147.25,147.564,146.4,147.402,D1,EURJPY
2023-04-21,1.09698,1.09938,1.09379,1.09894,D1,EURUSD
2023-04-21,1.84526,1.86056,1.84126,1.85903,D1,GBPAUD
2023-04-21,1.67671,1.68517,1.67337,1.68475,D1,GBPCAD
2023-04-21,167.021,167.078,165.511,166.896,D1,GBPJPY
2023-04-21,1.24414,1.24481,1.23668,1.24436,D1,GBPUSD
2023-04-21,1.34754,1.3563,1.34658,1.35395,D1,USDCAD
